代號,日期,時長,Session type,Topic,Level,Delivery Type,Tag,Recording Availability,Programming Language,Download Video,Download Slides,Download Transcript,Resource_1,Resource_2,主題,內容,講者,標籤,下個主題1,下個主題2,下個主題3,下個主題4,下個主題5,下個主題6,下個主題7,下個主題8,下個主題9,相關1,相關2,相關3,相關4,相關5,相關6,相關7,影片,附註
LAB333-R1,23,1 hour,Lab,Data & Analytics,,In Seattle,,Not recorded,,,,,Resource,,Integrate Azure OpenAI Service and Azure Cosmos DB for copilot apps,"Learn how to integrate Azure OpenAI Service and Azure Cosmos DB to build Generative AI Chat applications. This hands-on lab will provide practical insights into generating embeddings on user input, generating responses from an LLM, managing chat history for conversational context and build a semantic cache to enhance performance. By the end of this lab, you’ll have a comprehensive understanding of constructing an LLM pipeline, putting all these elements together to create your own AI copilot.","Justine Cocchi|Microsoft,Sajeetharan Sinnathurai|Microsoft",Session Ended|Lab|In Seattle only,More on this topic,,,,,,,,,The power of AI and Copilot for Azure...,Unlock potential on Azure with Micros...,Unleash the Potential of APIs with Az...,Take an Azure OpenAI chat application...,Power AI apps and develop rich experi...,Quickly deploy NVIDIA optimized gener...,,This session has ended,"Justine Cocchi
Program Manager
Microsoft
Save to backpackSajeetharan Sinnathurai
Principal Program Manager
Microsoft
Save to backpack"
LAB341-R1,23,1 hour,Lab,Developer Tools,,In Seattle,,Not recorded,,,,,Resource,"LAB341 Collection: https://aka.ms/build24/lab341/resources

.NET Aspire blog: https://aka.ms/AspireGA

.NET Aspire Webpage: https://dotnet.microsoft.com/en-us/apps/cloud

.NET Aspire Collection: https://aka.ms/aspire/learn

.NET Beginner Videos: https://aka.ms/dotnet/videos",Get started building Cloud Native apps with .NET Aspire,".NET Aspire is an opinionated, cloud-ready stack to build observable, production-ready distributed applications. In this lab we'll look at the role .NET Aspire plays in .NET cloud native development and build an app! Learn how to build a containerized frontend and backend applications with orchestration to help with composition and service discovery. See how to add in Azure Redis Cache and monitor all the moving parts with the Aspire dashboard. We'll also deploy it to Azure Container Apps.","Adrian Hall|Microsoft,Matt Soucoup|Microsoft",Session Ended|Lab|In Seattle only,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,,,,Learn how to easily integrate AI into...,Modern Full-Stack Web Development wit...,.NET Aspire development on any OS wit...,Accelerate Microsoft Azure deployment...,Demystify cloud-native development wi...,.NET API development end-to-end,,This session has ended,"Adrian Hall
Principal PM/Architect
Microsoft
Save to backpackMatt Soucoup
.NET Cloud Dev Advocate
Microsoft
Save to backpack"
LAB322-R1,23,1 hour,Lab,Copilot,,In Seattle,,Not recorded,,,,,Resource,,"Build, Evaluate and Deploy a RAG-based retail copilot with Azure AI","Building generative AI applications for production requires a paradigm shift to LLM Ops, with new tools, platforms and processes for orchestrating end-to-end development workflows. In this session, you’ll learn to build, evaluate and deploy an enterprise copilot application end-to-end, using a code-first approach with Azure AI Studio and Prompt flow. From ideating your scenario with your data, to evaluating it for quality locally and on Azure, then deploying it for real-world usage.",,Session Ended|Lab|In Seattle only,More on this topic,,,,,,,,,Build your own copilot with Microsoft...,The power of AI and Copilot for Azure...,Building a copilot: Azure AI Studio o...,Quickly deploy NVIDIA optimized gener...,Azure AI Studio - Creating and scalin...,Build a RAG app in minutes using Lang...,,This session has ended,
LAB321,23,1 hour,Lab,Copilot,,In Seattle,,Not recorded,,,,,Resource,,Build your own copilot on Teams with Teams Toolkit and Azure AI Studio,"Discover the power of the Teams AI library and Azure AI Studio to build your custom copilot on Teams. This lab guides you through the creation process using Teams Toolkit to get your first copilot in minutes. Learn to integrate various AI models, and utilize pro-code tools to craft a copilot tailored to your organization’s needs.","Alex Acebo|Microsoft,Kavin Singh|Microsoft",Session Ended|Lab|In Seattle only,More on this topic,,,,,,,,,Build your own copilot with Microsoft...,Unlock potential on Azure with Micros...,Building a copilot: Azure AI Studio o...,Reach 320M+ users in flow of work bui...,Azure AI Studio - Creating and scalin...,Build Microsoft Copilot extensions wi...,,This session has ended,"Alex Acebo
Senior Software Engineer
Microsoft
Save to backpackKavin Singh
Software Engineer I
Microsoft
Save to backpack"
BRK111,23,45 minutes,Breakout,AI Development,Intermediate (200),Online,Responsible AI,Recorded,,Video,Slide,Transcript,Resource,,Speech + GPT creating a new era of multi-lingual genAI experiences,"The combination of generative AI and speech with live translation technologies is offering organizations new opportunities to engage with their customers. Imagine an end-to-end genAI-powered support experience including real-time assistance for agents, fast transcription, or a video dubbing experience with support for more than 100 languages. Join us as we unveil capabilities that enterprises are using to power multi-modal communications and drastically improve productivity.","Matej Divkovic|Speech Processing Solutions GmbH,Panos Periorellis|Microsoft,Heiko Rahmel|Microsoft",On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,More on this topic,,,,,,"Multimodel, Multimodal, and Multiagen...",New multimodal vision AI models and t...,Operationalize AI responsibly with Az...,RAG at scale: production-ready GenAI ...,Revamping the Document Automation Wor...,Disrupt and Grow with Microsoft Azure AI,,,"Matej Divkovic
Head of Software Development SpeechLive
Speech Processing Solutions GmbH





Save to backpackPanos Periorellis
Principal Product Manager, Azure AI
Microsoft
Save to backpackHeiko Rahmel
Principal PM Lead Azure AI Speech
Microsoft
Save to backpack"
BRK131,23,45 minutes,Breakout,Cloud Platform,Advanced (300),Online,Modernize,Recorded,Python,Video,,Transcript,Resource,,Serverless architectures: Effortless Intelligent Apps at extreme scale,"Dive into the forefront of AI-led app development, from RAG solutions to chatbots with serverless architectures. Explore how to bring your own data to quickly build and deploy modern, intelligent apps with Azure Container Apps and Azure Functions. Leverage new capabilities like Flex Consumption Plan, extension for Azure OpenAI, secure sandboxes for LLM code processing, vector DBs and more. Discover architecting event driven modern apps at extreme scale with Serverless on Azure.","Devanshi Joshi|Microsoft,Paul Yuknewicz|Microsoft",On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,,,,,,,"App innovation in the AI era: cost, b...",Conversational app and code assessmen...,Build a Music Recommendation System w...,Building AI applications that leverag...,Using AI with App Service to deploy d...,Building applications at hyper scale ...,,,"Devanshi Joshi
Sr. Product Marketing Manager
Microsoft
Save to backpackPaul Yuknewicz
Group PM, Azure Serverless
Microsoft
Save to backpack"
BRK166,23,45 minutes,Breakout,Data & Analytics,Expert (400),Online,,Recorded,,Video,Slide,Transcript,Resource,,Power AI apps and develop rich experiences with Azure SQL Database,"Artificial intelligence is transforming the way businesses operate, innovate, and compete. Today, you can harness the power of AI through the close integration that Azure SQL Database has with the broader suite of AI-related services on Azure. Integration with Azure Open AI and Azure AI Search is powering new scenarios like vector search and Retrieval Augmentation Generation (RAG) for working with large language models (LLMs). Join this session to learn how Azure SQL powers modern apps.","Bob Ward|Microsoft,Muazma Zahid|Microsoft",On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,More on this topic,,,,,,Power the next generation of AI apps ...,The power of AI and Copilot for Azure...,Build your own advanced AI solutions ...,"Discover Oracle Database@Azure, a new...",Transform applications with AI and Az...,Disrupt and Grow with Microsoft Azure AI,,,"Bob Ward
Principal Architect
Microsoft
Save to backpackMuazma Zahid
Principal PM Manager
Microsoft

Save to backpack"
BRK241,23,45 minutes,Breakout,Windows,Advanced (300),Online,WPF,Recorded,,Video,Slide,Transcript,Resource,"Windows Dev Center: https://aka.ms/windev

WinUI 3 Documentation: https://aka.ms/winui

WPF Documentation: https://aka.ms/wpf

WinUI Community Call: https://aka.ms/winui/communitycall",Navigating Win32 App Development with WinUI and WPF,"Selecting the appropriate technology is crucial to build Win32 applications on Windows. The Client Platform team dives into the capabilities of WinUI and WPF to guide you through the decision-making process. Discover the unique benefits of each framework and learn where to go from here to find the deep dives on Windows at //Build. Whether you're a seasoned developer or new to the Windows platform, this talk will provide valuable insights into choosing the right tech for your Win32 applications.","Chigusa Sansen|Microsoft,Jeffrey Stall|Microsoft",On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,,The Latest in Windows Security for De...,Supercharging your React Native app f...,What's New with WinForms in .NET 9?,How to Quickly Build a .NET Desktop D...,Creating Seamless Cross-Device Experi...,How to create superior experiences wi...,,,"Chigusa Sansen
Principal Product Manager Lead
Microsoft
Save to backpackJeffrey Stall
Principal Software Engineer
Microsoft
Save to backpack"
BRK189,23,45 minutes,Breakout,Developer Tools,Advanced (300),Online,GitHub Enterprise,Recorded,,Video,Slide,Transcript,Resource,"GitHub Copilot - Your AI pair pr...: https://github.com/features/copilot

So, what is GitHub?: https://www.youtube.com/watch?si=ZlVGQupzGlM5k5Qs&v=pBy1zgt0XPc&feature=youtu.be

GitHub Features - check out all ...: https://github.com/features/

GitHub Certifications: https://resources.github.com/learn/certifications/

Collection: Accelerate Developer...: https://learn.microsoft.com/en-us/collections/wrdxbjk4w7r50o",How GitHub builds GitHub on GitHub,"GitHub is the home for all developers. This is no different inside GitHub, where our own passionate group of engineers use our services to build and deliver secure software that the next 100M developers will love. Join us to explore how GitHub builds GitHub using the full range of capabilities: from GitHub Copilot, to Projects, to CodeQL. You will also learn how we roll out new tech to GitHub's development teams so everyone can take advantage of the powerful new productivity tools.","Neha Batra|GitHub,Martin Woodward|GitHub",On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,GitHub Copilot Workspace: A deep dive,Building on LLM's - Lessons learned f...,GitHub Copilot can do that!?,Extending GitHub Copilot,GitHub Copilot can do that!?,Empowering Robust Engineering: Visual...,,,"Neha Batra
VP of Engineering
GitHub
Save to backpackMartin Woodward
Vice President, DevRel
GitHub
Save to backpack"
,23,,,,,,,,,,,,,,A practical approach to securing RAG applications,"The lack of security controls in RAG-based LLM applications can pose risks if not addressed properly. In this session, we analyze the RAG architecture, identify potential security risks at each stage and demonstrate how to mitigate those risks when developing RAG applications by shifting security left.",,,,,,,,,,,,,,,,,,,,"""Message: \n"""
BRK134,23,45 minutes,Breakout,Cloud Platform,Intermediate (200),Online,Intelligent,Recorded,Python,Video,Slide,Transcript,Resource,,Take an Azure OpenAI chat application from PoC to enterprise-ready,"So, you’ve built a private chat bot using Azure OpenAI and AI Studio. How are you going to take this proof-of-concept and make it production-ready? This session addresses this fundamental question by presenting prescriptive guidance that includes reference architectures and implementations, including how a gateway can address key Azure OpenAI Well-Architected Framework considerations. You'll also learn key chunking and embedding challenges and strategies to make your app hum.","Rob Bagby|Microsoft,Ritesh Modi|Microsoft",On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,More on this topic,,,,,,"Multimodel, Multimodal, and Multiagen...",Build your own advanced AI solutions ...,Unleash the Potential of APIs with Az...,Quickly deploy NVIDIA optimized gener...,Give your GenAI apps a multilingual v...,Driving innovation through Azure Red ...,,,"Rob Bagby
AAC Content lead
Microsoft
Save to backpackRitesh Modi
Principal Engineer
Microsoft
Save to backpack"
BRK254,23,45 minutes,Breakout,Other,Expert (400),Online,Game Development,Recorded,Python,Video,,Transcript,,,Supercharging game dev with Microsoft's cloud native and AI technology,"Come build a game with us in real time! We'll explore how Microsoft's cloud-native and AI technology is accelerating game developers during a live, interactive demo. Our team will demonstrate how quickly someone can build a game in VS Code using GitHub Copilot and deploy it to cloud using Azure, GitHub Codespaces, and Docker. At the end of the session, we'll launch to game and everyone is encouraged to play the game as we answer questions.",Max Felker|Microsoft,On Demand|Breakout|In Seattle + Online,,,,,,,,,,Accelerate development and deployment...,Accelerate Microsoft Azure deployment...,Understanding cloud powered developme...,Gaming Industry use cases for Azure & AI,Quickly deploy NVIDIA optimized gener...,Empowering Robust Engineering: Visual...,,,"Max Felker
Enterprise Architect
Microsoft
Save to backpack"
BRK245,23,45 minutes,Breakout,Windows,Advanced (300),Online,Software Developer,Recorded,,Video,,Transcript,Resource,,"Level up your dev box, how devs at Microsoft are productive on Windows","Developers across Microsoft have learned different ways to be more productive in our daily work, and will also see the set ups and tools from your favorite social developers, maybe we all learn a few tricks from each other. From using aliases, amazing VS Code extensions, customizing Windows Terminal in a variety of ways, speed runs to setting up new computers, and more! Learn how to optimize your time to be more productive with shortcuts, apps, and systems you may not have been aware of.","Scott Hanselman|Microsoft,Vicky Harp|Microsoft,Maddy Montaquila|Microsoft",On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,,,,,,,Understanding cloud powered developme...,Use customization to personalize Dev ...,Microsoft Dev Box for Accessibility,Scott and Mark learn AI,Build apps from the cloud with Micros...,Optimizing the Microsoft developer ex...,,,"Scott Hanselman
VP Developer Community
Microsoft
Save to backpackVicky Harp
Principal Group Product Manager, Windows Developer Experiences
Microsoft
Save to backpackMaddy Montaquila
Senior Product Manager, .NET MAUI
Microsoft
Save to backpack"
BRK203,23,45 minutes,Breakout,Copilot,Advanced (300),Online,Azure AI Studio,Recorded,,Video,Slide,Transcript,Resource,"BRK141: https://aka.ms/BRK141

BRK143: https://aka.ms/BRK143

LAB301: https://build.microsoft.com/en-US/sessions/9ed64500-857d-4917-acef-13cf5c0bf67d?source=sessions",Building a copilot: Azure AI Studio or Copilot Studio,"Are you interested in creating a copilot for your business or a client and need some guidance on how to begin and which studio to select? Daniel and Henk will show you how to use both studios to make a copilot, compare the features and designs of both products, and discuss their pros and cons. By the end of the session, you will have a good knowledge of both studios and how to apply them.","Henk Boelman|Microsoft,Daniel Laskewitz|Microsoft",On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,,,Build your own copilot with Microsoft...,Shaping next-gen development: the fut...,What's new with Microsoft Copilot Studio,Safeguard your copilot with Azure AI,Azure AI Studio - Creating and scalin...,Build Microsoft Copilot extensions wi...,,,"Henk Boelman
Senior Cloud Advocate AI & ML
Microsoft

Save to backpackDaniel Laskewitz
Senior Cloud Advocate
Microsoft
Save to backpack"
BRK250,23,45 minutes,Breakout,AI Development,Advanced (300),Online,AI Specialist,Recorded,Python,Video,Slide,Transcript,Resource,,Bridge the chasm between your ML and app devs with Semantic Kernel,"AI experts and enterprise development teams often use different tech stacks with different concepts and resource types. Now that Semantic Kernel is V1.0 in Python, C#, and Java though, your teams now have the opportunity to speak the same language. With Semantic Kernel, ML teams can create the same assets for plugins, planners, and agents, evaluate them, and then give them to app dev teams to deploy them. Come to this Cozy AI Kitchen session to learn just how easy it is to reuse AI assets.","Matthew Bolanos|Microsoft,Evan Chaki|Microsoft,Hiro Kobashi|Fujitsu,John Maeda|Microsoft",On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,More on this topic,,,,,,Building JavaScript intelligent web a...,Practical End-to-End AI Development u...,Building Gen-AI experiences using LLM...,Quickly deploy NVIDIA optimized gener...,Spring Unlocks the Power of AI Platfo...,Generative AI application stack and p...,,,"Matthew Bolanos
Group Product Manager
Microsoft
Save to backpackEvan Chaki
Group Manager - Semantic Kernel
Microsoft



Save to backpackHiro Kobashi
Research Director
Fujitsu
Save to backpackJohn Maeda
VP AI and Design
Microsoft

Save to backpackDan Schocke
Director
Accenture
Save to backpackAdam Tybor
Chief AI & Data Architect
Accenture
Save to backpack"
BRK205,23,45 minutes,Breakout,Low-code,Intermediate (200),Online,SAP,Recorded,Power Fx,Video,Slide,Transcript,Resource,,Better Together - Powering SAP innovation with Microsoft Copilot,Uncover the full potential of your SAP ecosystem with Copilot in Microsoft Power Platform. Join us to discover how integrating Power Platform into your SAP ecosystems revolutionizes business processes and data by harnessing the power of Copilot and hyperautomation to drive SAP innovation.,,On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,More on this topic,,,,,,Integrating your bots and Copilot exp...,Shaping next-gen development: the fut...,Extending Copilot for Sales with Micr...,Transforming the most valuable indust...,Unleash AI-powered Extensibilities in...,Building the apps of the future today...,,,
DEM754,23,15 minutes,Demo,Low-code,Intermediate (200),In Seattle,Power Automate,Not recorded,,,,,Resource,,New Copilot experiences for developers in Power Automate,"Power Automate provides transformative value with automaton powered by generative AI. Use it to better understand your business, build automations that free you up to focus on deeper development work, and manage your automations at scale. Join us to explore new frontiers in AI and automation that will revolutionize your development practices.",Nitish Meena|Microsoft,Session Ended|Demo|In Seattle only,More on this topic,,,,,,,,,Shaping next-gen development: the fut...,Extending Copilot for Sales with Micr...,Build scalable automations with AI Ui...,Revolutionize the way you work with a...,Secure and govern Copilot within ente...,Building the apps of the future today...,,This session has ended,"Nitish Meena
Prinipal Design Manager, Power Automate
Microsoft
Save to backpack"
DEM749,23,15 minutes,Demo,Developer Tools,Intermediate (200),In Seattle,VSS,Not recorded,,,,,Resource,,My.VisualStudio.Com - Unlocking your Benefits & Diamond,"Learn about all the benefits included in your Visual Studio Subscription in this demo-filled tour. Discover how to easily access Azure credits, software downloads, training resources, and support. Maximize your development potential by leveraging all the benefits available to Visual Studio Professional and Enterprise users.",,Session Ended|Demo|In Seattle only,More on this topic,,,,,,,,,.NET Aspire development on any OS wit...,What’s new in GitHub Copilot and Visu...,"Maximize joy, minimize toil with grea...",Build apps from the cloud with Micros...,Azure Boards New and Noteworthy,Empowering Robust Engineering: Visual...,,This session has ended,"Jason Chlus
Program Manager
Microsoft
Save to backpackJacqueline Widdis
Visual Studio Subscriptions Product Manager
Microsoft
Save to backpack"
DEM702,23,15 minutes,Demo,AI Development,Advanced (300),In Seattle,Born-in-the-cloud,Not recorded,,,,,Resource,,Video prompting with Azure AI Vision and GPT-4 Turbo with Vision,"More video content is uploaded every 30 days than the major U.S. television networks created in the last 30 years. Azure OpenAI Service GPT-4 Turbo with Vision represents a massive leap in image and video understanding capabilities. Video Retrieval integration enables developer efficiency, allowing any developer to integrate video as an input directly within their app or service. In this demo session, learn how video prompting is made simple and easy in Azure AI Studio and Azure OpenAI Studio.",Fisayo Feyisetan|Microsoft,Session Ended|Demo|In Seattle only,More on this topic,,,,,,,,,New multimodal vision AI models and t...,"Multimodel, Multimodal, and Multiagen...",Revamping the Document Automation Wor...,Quickly deploy NVIDIA optimized gener...,Give your GenAI apps a multilingual v...,Disrupt and Grow with Microsoft Azure AI,,This session has ended,"Fisayo Feyisetan
Senior Product Manager
Microsoft
Save to backpack"
DEM823,23,15 minutes,Demo,Cloud Platform,,In Seattle,,Not recorded,,,,,,,"Imagine Cup: FROM YOUR EYES, an AI-enabled mobile vision assistant","Enter the realm of AI empowerment. In this demo, FROM YOUR EYES will showcase their cutting-edge mobile application, built with Azure Computer Vision and Text Translator. Experience how their technology provides fast and qualified visual explanations to individuals with vision disabilities, enhancing their independence and quality of life.","EKEge Ketrez,ZTZulal Tannur,EYEmre YILDIZ|FROM YOUR EYES",Session Ended|Demo|In Seattle only,,,,,,,,,,Accessibility in the era of generativ...,New multimodal vision AI models and t...,Transforming user experiences with re...,"TomTom brings AI-powered, talking car...",Give your GenAI apps a multilingual v...,2024 Imagine Cup World Championship,,This session has ended,
DEM748,23,15 minutes,Demo,Developer Tools,Intermediate (200),In Seattle,Windows,Not recorded,,,,,Resource,"Accessibility config sample: https://aka.ms/DevBox/Accessibility

Customizations sample: https://aka.ms/DevBox/customizations/AIsample

Customizations blog post: https://aka.ms/DevBox/Customizations

Build announcements: https://aka.ms/build24/DevBox

Dev Box resources: https://aka.ms/DevBox/Resources",Microsoft Dev Box for Accessibility,Dev Box provides ready-to-code development environments for any developer. Learn how to build dev boxes with the new config-as-code customization starters that showcase all the accessibility options available to make sure your dev box is as comfortable and familiar as your local environment.,"Jiayan Chen|Microsoft,Roberto Perez|Microsoft",Session Ended|Demo|In Seattle only,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,,,,"Level up your dev box, how devs at Mi...","Maximize joy, minimize toil with grea...",Build apps from the cloud with Micros...,Understanding cloud powered developme...,Optimizing the Microsoft developer ex...,Empowering Robust Engineering: Visual...,,This session has ended,"Jiayan Chen
Product Manager
Microsoft
Save to backpackRoberto Perez
Accessibility Technical Program Manager
Microsoft


Save to backpack"
DEM722,23,15 minutes,Demo,Copilot,Intermediate (200),In Seattle,Microsoft Copilot,Not recorded,,,,,Resource,,How Copilots are transforming Private Capital Portfolio Companies,"This session will highlight the value proposition and technical stack when working with or extending Microsoft's Copilots, specifically for Startups and early adopters. We will highlight tools that reduce development time, end-customer benefits, and overall return of investment. Product demonstrations to show how we can accelerate innovation with Microsoft Copilots.",,Session Ended|Demo|In Seattle only,More on this topic,,,,,,,,,Build your own copilot with Microsoft...,Integrating your bots and Copilot exp...,Shaping next-gen development: the fut...,Building Copilots - key lessons and b...,Transforming the most valuable indust...,Developer’s Guide to Customizing Micr...,,This session has ended,"Brenda De La Torre
Director, Partner Technology Strategy
Microsoft
Save to backpack"
BRK186,23,45 minutes,Breakout,Developer Tools,Advanced (300),Online,Visual Studio,Recorded,C#,Video,,Transcript,Resource,"Learn about new C# features: https://learn.microsoft.com/dotnet/csharp/whats-new/csharp-13

Track feature implementation status: https://github.com/dotnet/roslyn/blob/main/docs/Language%20Feature%20Status.md

Participate in C# language design: https://github.com/dotnet/csharplang",What’s new in C# 13,"Join Mads and Dustin as they show off a long list of features and improvements coming in C# 13. This year brings long-awaited new features like extensions and field access in auto-properties, as well as a revamped approach to breaking changes to ensure cleaner language evolution in years to come. Additionally, we take collection expressions to the next level by facilitating dictionary creation and opening params to new collection types.","Dustin Campbell|Microsoft,Mads Torgersen|Microsoft",On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,,,,.NET Aspire development on any OS wit...,"""Highly Technical Talk"" with Hanselma...",Infusing your .NET Apps with AI: Prac...,What's New with WinForms in .NET 9?,.NET API development end-to-end,EF Core 9: Evolving Data Access in .NET,,,"Dustin Campbell
Software Architect
Microsoft
Save to backpackMads Torgersen
C# Lead Designer
Microsoft
Save to backpack"
BRK171,23,45 minutes,Breakout,Data & Analytics,Intermediate (200),Online,Copilot,Recorded,,Video,Slide,Transcript,Resource,,The power of AI and Copilot for Azure Databases,"RAG pattern, vector search, Azure AI integration, and Microsoft Copilot skills are just some of the database capabilities developers need to build intelligent applications and AI solutions that are scalable and performant. This demo-heavy session will show how Azure is transforming the database experience - from code to completion. Bring the power of AI to your data workloads with the latest AI-ready and AI-enhanced features in Azure SQL, Azure Cosmos DB, and Azure Database for PostgreSQL.",,On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,More on this topic,,,,,,Power the next generation of AI apps ...,RAG at scale: production-ready GenAI ...,Transforming user experiences with re...,Power AI apps and develop rich experi...,Azure AI Studio - Creating and scalin...,Transform applications with AI and Az...,,,
BRK147,23,45 minutes,Breakout,Copilot,Intermediate (200),Online,Microsoft Copilot,Recorded,JavaScript/TypeScript,Video,Slide,Transcript,Resource,"BRK152: https://aka.ms/BRK152

BRK146: https://aka.ms/BRK146

BRK148: https://aka.ms/BRK148",Grow your business with Copilot extensions and marketplace,Learn how to take your Copilot extensions from dev to production and finally the marketplace. Learn how your extensions can be monetized and how to get certified through the M365 Compliance program.,"Siffat Hingorani|Microsoft,Srini Raghavan|Microsoft Corp.",On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,,,Launch AI applications and get to mar...,Build your own copilot with Microsoft...,Extending Copilot for Sales with Micr...,Reach 320M+ users in flow of work bui...,Developer’s Guide to Customizing Micr...,Build Microsoft Copilot extensions wi...,,,"Siffat Hingorani
Senior Product Manager
Microsoft
Save to backpackSrini Raghavan
VP - Microsoft Teams Ecosystem
Microsoft Corp.

Save to backpack"
BRKFP295,23,45 minutes,Breakout,Developer Tools,Intermediate (200),Online,Windows on Arm,Recorded,Rust,Video,Slide,,,,"Foster a collaborative, innovative, optimized development practice","Discover the power of Docker and Microsoft's partnership in streamlining dev processes across Azure, Windows, and Dev Box. Learn how to build and run containers efficiently, ensuring consistency and boosting productivity within the inner loop of development. This session offers insights into best practices, fostering a collaborative, innovative, and resource-optimized development practice.","Anthony Cangialosi|Microsoft,Justin Cormack|Docker",On Demand|Breakout|In Seattle + Online,,,,,,,,,,Understanding cloud powered developme...,"Level up your dev box, how devs at Mi...","Maximize joy, minimize toil with grea...",Securing Dockerized apps in the Micro...,Build apps from the cloud with Micros...,Seamlessly leverage .NET on Ubuntu fr...,,,"Anthony Cangialosi
Principal Group Manager
Microsoft
Save to backpackJustin Cormack
CTO
Docker
Save to backpack"
BRK124,23,45 minutes,Breakout,Cloud Platform,Advanced (300),Online,LLMs,Recorded,Python,Video,Slide,Transcript,Resource,,Building AI applications that leverage your data in object storage,"Data enhances foundational LLMs (e.g. GPT-4, Mistral Large and Llama 2) for contextual outputs. Learn why Azure Blob Storage is the ideal storage choice for petabytes of unstructured data (e.g. PDFs, images or videos) for fine-tuning LLMs or for retrieval augmented generation (RAG) systems. Learn best practices like using Premium Blob for class-leading performance with low TCO. Dive into integration with Azure AI Search, Azure OpenAI and Fabric to build AI apps on your data estate quickly.","Vamshidhar Kommineni|Microsoft,Saurabh Sensharma|Microsoft",On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,More on this topic,,,,,,Revolutionizing search and retrieval ...,Getting more out of your containerize...,Advanced RAG with Azure AI Search - t...,RAG at scale: production-ready GenAI ...,Revolutionizing search and retrieval ...,Power AI apps and develop rich experi...,,,"Vamshidhar Kommineni
Group Product Manager
Microsoft
Save to backpackSaurabh Sensharma
PRINCIPAL PRODUCT MANAGER
Microsoft
Save to backpack"
BRK220,23,45 minutes,Breakout,Security,Advanced (300),Online,Security,Recorded,JavaScript/TypeScript,Video,Slide,Transcript,Resource,"GitHub Advanced Security Overvie...: https://github.com/features/security

GitHub Advanced Security Docs: https://docs.github.com/en/code-security/getting-started/github-security-features

GitHub Certifications: https://resources.github.com/learn/certifications/

Collection: Secure Developer Pla...: https://aka.ms/Build24CollectionsSecurity-GitHubAdvancedSecurity",Bake Security into your workflow with GitHub Advanced Security and AI,"The sooner you find and fix security issues, the less of a problem they are. In this session find out how to prevent the most common security issues from being merged into your codebase, how to find and fix vulnerabilities faster with AI as well as how to keep your dependencies update. We will dig into the functionality you can provide to your developer teams through GitHub Advanced Security for teams building on GitHub or Azure DevOps.","Justin Hutchings|GitHub,Madison Oliver|GitHub",On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,More on this topic,,Fixing Secret Leaks at Scale with Git...,Code Scanning with GitHub Advanced Se...,Fixing Secret Leaks at Scale with Git...,Code Scanning with GitHub Advanced Se...,Stop Dependency Debt with GitHub Adva...,Fundamentals of AI safety and security,,,"Justin Hutchings
Sr Director of Product Mgmt
GitHub
Save to backpackMadison Oliver
Security Manager, Advisory Database Curation
GitHub
Save to backpack"
BRK140,23,45 minutes,Breakout,Copilot,Intermediate (200),Online,,Recorded,,Video,Slide,Transcript,Resource,,Accessibility in the era of generative AI,"With 1 in every 6 people impacted by disability, it is important now more than ever to bring them along in an inclusive environment as we make progress in AI. Join us as we showcase the innovations built with and for people with disabilities. You will see how Azure AI is working alongside customers to bring inclusive products to market; products that extend the multi-modal benefits of image and speech recognition, and natural language interaction to bridge accessibility gaps for end users.","Marco Casalaina|Microsoft,Ailsa Leen|Microsoft,Josh Loebner|VML",On Demand|Breakout|In Seattle + Online,More on this topic,More on this topic,More on this topic,More on this topic,,,,,,"Multimodel, Multimodal, and Multiagen...",RAG at scale: production-ready GenAI ...,Revamping the Document Automation Wor...,Innovating Inclusive Tech: learning f...,Give your GenAI apps a multilingual v...,Disrupt and Grow with Microsoft Azure AI,,,"Marco Casalaina
VP of Products, Azure AI
Microsoft
Save to backpackAilsa Leen
Senior Design Program Manager (Accessibility)
Microsoft
Save to backpackJosh Loebner
Global Head of Inclusive Design
VML





Save to backpack"
